,id,number,state,userId,userlogin,username,labels,createTimestamp,updateTimestamp,finishTimestamp,type
549,2799453,I1O02L,open,6574868,jojobugfree,caifubi,[],2020-07-16T11:14:19+08:00,2020-07-16T11:14:20+08:00,,RFC
550,2797767,I1NYRR,open,7342109,lichen_101010,lichen_101010,"[{'id': 58021008, 'name': 'kind/enhancement', 'color': 'b000cf', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/kind/enhancement', 'created_at': '2020-03-19T16:20:44+08:00', 'updated_at': '2021-02-04T20:22:47+08:00'}]",2020-07-16T04:48:28+08:00,2020-07-16T04:49:50+08:00,,RFC
551,2785211,I1NP2Z,open,7735776,codesausage,codesausage,[],2020-07-14T09:58:05+08:00,2020-07-14T10:47:19+08:00,,Empty-Template
552,2784313,I1NOE1,open,7526190,xt445,xt445,[],2020-07-14T05:04:51+08:00,2020-07-14T10:40:32+08:00,,RFC
553,2778749,I1NK3H,open,6575368,jiangzhiwen8,jiangzhiwen,"[{'id': 58023093, 'name': 'comp/data', 'color': '8c6e63', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/data', 'created_at': '2020-03-19T16:32:45+08:00', 'updated_at': '2021-02-06T07:00:20+08:00'}]",2020-07-13T11:06:12+08:00,2020-07-13T11:07:51+08:00,,RFC
554,2767926,I1NBQU,open,6560296,xiaoda_zh,Xiaoda,[],2020-07-10T10:17:02+08:00,2020-07-10T15:46:01+08:00,,RFC
555,2767150,I1NB5A,open,7520509,li_zhixi,李志熙,[],2020-07-10T00:27:34+08:00,2020-07-10T00:33:47+08:00,,Bug-Report
556,2761058,I1N6G2,open,7641551,nhussain,nhussain,"[{'id': 58023093, 'name': 'comp/data', 'color': '8c6e63', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/data', 'created_at': '2020-03-19T16:32:45+08:00', 'updated_at': '2021-02-06T07:00:20+08:00'}]",2020-07-09T05:04:05+08:00,2020-07-09T05:10:58+08:00,,Bug-Report
557,2754921,I1N1PL,open,7342114,anthonyaje,anthonyaje,[],2020-07-07T23:08:26+08:00,2020-08-20T06:25:31+08:00,,Requirement
558,2748359,I1MWNB,open,5199073,loopyme,loopyme,[],2020-07-07T00:41:53+08:00,2020-07-07T00:41:54+08:00,,Bug-Report
559,2734564,I1MM04,open,7596152,wonderman123,WonderMan,[],2020-07-03T17:33:08+08:00,2020-07-03T17:33:09+08:00,,Bug-Report
560,2734471,I1MLXJ,open,7596152,wonderman123,WonderMan,[],2020-07-03T17:22:51+08:00,2020-07-03T17:22:52+08:00,,Bug-Report
561,2734296,I1MLSO,open,7596152,wonderman123,WonderMan,[],2020-07-03T17:07:57+08:00,2020-07-03T17:07:58+08:00,,Bug-Report
562,2725244,I1MET8,open,6575161,lianliguang,lianliguang,[],2020-07-02T09:38:54+08:00,2021-01-12T14:14:56+08:00,,RFC
563,2725217,I1MESH,open,6575161,lianliguang,lianliguang,[],2020-07-02T09:36:42+08:00,2021-01-12T14:14:47+08:00,,RFC
564,2725178,I1MERE,open,6575161,lianliguang,lianliguang,[],2020-07-02T09:33:23+08:00,2021-01-12T14:14:35+08:00,,RFC
565,2720207,I1MAXB,open,6575981,hanjun996,hanjun996,[],2020-07-01T11:52:03+08:00,2020-07-01T11:55:38+08:00,,Bug-Report
566,2711711,I1M4DB,open,7342109,lichen_101010,lichen_101010,"[{'id': 58021008, 'name': 'kind/enhancement', 'color': 'b000cf', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/kind/enhancement', 'created_at': '2020-03-19T16:20:44+08:00', 'updated_at': '2021-02-04T20:22:47+08:00'}]",2020-06-29T22:57:52+08:00,2020-06-30T20:06:23+08:00,,RFC
